S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
198,21BQ1A05J9,CSE,A+,C,A+,A,A,A,A+,A+,COMPLETED,COMPLETED,9.15,9.12
199,21BQ1A05K0,CSE,A+,C,A+,B,D,A,A+,A+,COMPLETED,COMPLETED,8.54,8.81
200,21BQ1A05K1,CSE,C,D,B,D,D,A,A,A,COMPLETED,COMPLETED,7.15,7.23
201,21BQ1A05K2,CSE,D,D,D,F,F,A,B,A+,COMPLETED,COMPLETED,4.85,5.46
202,21BQ1A05K3,CSE,C,C,E,A,E,A,A,A+,COMPLETED,COMPLETED,7.23,7.65
203,21BQ1A05K4,CSE,A+,C,A+,A,C,A+,A+,A+,COMPLETED,COMPLETED,8.92,9.08
204,21BQ1A05K5,CSE,A+,B,A+,A,B,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.15
205,21BQ1A05K6,CSE,A,C,B,C,C,A,A,A+,COMPLETED,COMPLETED,8.0,8.46
206,21BQ1A05K7,CSE,F,F,F,F,F,B,B,C,COMPLETED,COMPLETED,1.77,3.08
207,21BQ1A05K8,CSE,A,C,B,B,C,A,A,A+,COMPLETED,COMPLETED,8.15,8.23
208,21BQ1A05K9,CSE,A,B,B,B,C,A,A+,A+,COMPLETED,COMPLETED,8.38,8.65
209,21BQ1A05L0,CSE,A,C,A,A,C,A,A+,A+,COMPLETED,COMPLETED,8.54,8.81
210,21BQ1A05L1,CSE,C,D,C,C,D,A,A,A,COMPLETED,COMPLETED,7.15,7.35
211,21BQ1A05L2,CSE,A,B,B,B,B,A+,A+,A+,COMPLETED,COMPLETED,8.62,8.81
212,21BQ1A05L3,CSE,A,C,B,B,A,A,A,A+,COMPLETED,COMPLETED,8.46,8.77
213,21BQ1A05L4,CSE,A+,B,A,A,A,A,A+,A+,COMPLETED,COMPLETED,9.15,9.12
214,21BQ1A05L5,CSE,B,B,C,C,B,A,A+,A+,COMPLETED,COMPLETED,8.08,8.15
215,21BQ1A05L6,CSE,A,D,C,C,D,A,A+,A+,COMPLETED,COMPLETED,7.62,8.08
216,21BQ1A05L7,CSE,A,C,B,C,C,B,A+,A+,COMPLETED,COMPLETED,8.0,8.12
217,21BQ1A05L8,CSE,A+,B,A+,C,B,A,A,A+,COMPLETED,COMPLETED,8.77,8.62
218,21BQ1A05L9,CSE,C,B,A,B,C,A+,A+,A+,COMPLETED,COMPLETED,8.31,8.38
219,21BQ1A05M0,CSE,A,B,A,C,C,A,A,A+,COMPLETED,COMPLETED,8.31,8.38
220,21BQ1A05M1,CSE,F,F,F,F,F,C,B,D,COMPLETED,COMPLETED,1.62,2.46
221,21BQ1A05M2,CSE,B,B,A,C,D,A,A,A,COMPLETED,COMPLETED,7.92,7.88
222,21BQ1A05M3,CSE,B,B,B,D,F,A,A,A+,COMPLETED,COMPLETED,6.77,7.54
223,21BQ1A05M4,CSE,A+,B,A+,C,C,A,A+,A+,COMPLETED,COMPLETED,8.69,8.81
224,21BQ1A05M5,CSE,B,B,A,C,D,A+,A,A+,COMPLETED,COMPLETED,8.08,7.88
225,21BQ1A05M6,CSE,C,C,B,D,D,A,A,A+,COMPLETED,COMPLETED,7.38,7.38
226,21BQ1A05M7,CSE,A+,B,A+,D,F,A,A+,A+,COMPLETED,COMPLETED,7.46,8.35
227,21BQ1A05M8,CSE,A,A,A,C,B,A,A+,A+,COMPLETED,COMPLETED,8.69,8.96
228,21BQ1A05M9,CSE,E,C,C,E,F,C,A,C,COMPLETED,COMPLETED,5.46,5.27
229,21BQ1A05N0,CSE,A+,B,A,B,B,A,A,A+,COMPLETED,COMPLETED,8.77,8.73
230,21BQ1A05N1,CSE,B,C,A,B,C,B,A,A,COMPLETED,COMPLETED,8.0,7.69
231,21BQ1A05N2,CSE,A+,B,B,A,B,A,A+,A+,COMPLETED,COMPLETED,8.85,8.42
